Amsterdam2023				
221	19	10.7	0.03	22.3
222	22	11.9	0	18.15
223	25	15.2	0	20.04
224	21.2	17.4	0.38	19.3
225	21.4	15.6	0.1	18.68
226	25.4	13.8	0	19.31
227	21.3	13.5	0.03	17.28
228	22.5	11.5	0	21.19
229	21	14.8	0.03	15.6
230	24.3	16.6	0.01	14.59
231	23.9	16.3	0.39	13.73
232	22.8	15.2	0	21.91
233	23.3	12.9	0.01	21.7
234	21.5	14.7	0	20.17
235	23.5	14.4	0	20.86
236	24.1	15.2	0.47	10.05
237	22.4	14.5	0.54	12.77
238	18.5	13.5	0.27	16.34
239	17	11.9	0.34	16.5
240	19	11.9	0.09	17.91
241	18.7	11.1	0.11	16.36
242	17.3	11.2	1.41	12.78
243	18.1	11.3	0.5	18.6
244	19.5	12.1	0.19	9.98
245	21	13.5	0.06	15.85
246	22.7	11.9	0	16.15
247	23.9	12.5	0	18.49
248	27.6	15.5	0	18.99
249	28.8	15.3	0	18.72
250	27.8	16	0	18.68
251	28.9	15.6	0	18.23
252	27.8	15.9	0	17.34
253	30.1	18.2	0	17.09
254	23.8	18.8	0	16.55
255	23.3	17.3	0.67	13.48
256	19.3	12.2	0.27	11
257	19.7	10.1	0	14.27
258	21.3	10.7	0	16.7
259	23.5	11.4	0	15.36
260	20.8	16.2	0.29	7.59
261	21.4	15.2	0.95	12.03
262	18.2	14.7	0.47	6.65
263	20.5	16.1	0.15	9.24
264	20	13.1	2.1	2.64
265	15.5	11.5	0.54	8.92
266	16.8	11	0.52	10.36
267	18.7	10.2	0	14.55
268	20.1	12.5	0	10.09
269	21.4	12.4	0	11.31
270	22.3	13.5	0	9.73
271	19.7	14.4	0.02	9.88
272	20.2	12	0.16	8.1
273	19	12	0.01	10.73
274	21.2	14	0	11.92
275	22.3	15.7	0	8.02
276	20.3	14.3	0.26	4.91
277	16.9	13.5	0.05	8.41
278	17.7	13.8	0.03	9.5
279	19.4	13.6	0	10.51
280	19.4	17.1	0	7.06
281	18.3	13.7	0	7.53
282	19.4	14.7	0	7.6
283	21.3	13.4	0	9.52
284	19.4	16.5	0.44	4.79
285	16.5	13.2	3.51	3.33
286	20.9	14.6	1.73	2.26
287	14.7	8.6	0.12	9.27
288	10.8	7	0.5	8.61
289	12.4	6.8	0.1	6.34
290	12.2	5.8	0	10.24
291	12.2	5.4	0.42	7.19
292	17	10.5	0.66	4.99
293	13.2	8.6	2.11	1.02
294	15.1	11.7	0.59	6.98
295	14.3	9.4	0.26	6.49
